NUM  NAME                      ORIGIN
-------------------------------------
001  RPL_WELCOME               RFC2812 
002  RPL_YOURHOST              RFC2812 
003  RPL_CREATED               RFC2812 
004  RPL_MYINFO                RFC2812 
005  RPL_BOUNCE                RFC2812 
005  RPL_ISUPPORT              
006  RPL_MAP                   Unreal 
007  RPL_MAPEND                Unreal 
008  RPL_SNOMASK               ircu 
009  RPL_STATMEMTOT            ircu 
010  RPL_BOUNCE                
010  RPL_STATMEM               ircu 
014  RPL_YOURCOOKIE            Hybrid? 
015  RPL_MAP                   ircu 
016  RPL_MAPMORE               ircu 
017  RPL_MAPEND                ircu 
018  RPL_MAPUSERS              InspIRCd 
020  RPL_HELLO                 rusnet-ircd 
030  RPL_APASSWARN_SET         ircu 
031  RPL_APASSWARN_SECRET      ircu 
032  RPL_APASSWARN_CLEAR       ircu 
042  RPL_YOURID                IRCnet 
043  RPL_SAVENICK              IRCnet 
050  RPL_ATTEMPTINGJUNC        aircd 
051  RPL_ATTEMPTINGREROUTE     aircd 
105  RPL_REMOTEISUPPORT        Unreal 
200  RPL_TRACELINK             RFC1459 
201  RPL_TRACECONNECTING       RFC1459 
202  RPL_TRACEHANDSHAKE        RFC1459 
203  RPL_TRACEUNKNOWN          RFC1459 
204  RPL_TRACEOPERATOR         RFC1459 
205  RPL_TRACEUSER             RFC1459 
206  RPL_TRACESERVER           RFC1459 
207  RPL_TRACESERVICE          RFC2812 
208  RPL_TRACENEWTYPE          RFC1459 
209  RPL_TRACECLASS            RFC2812 
210  RPL_TRACERECONNECT        RFC2812 
210  RPL_STATS                 aircd 
210  RPL_STATSHELP             Unreal 
211  RPL_STATSLINKINFO         RFC1459 
212  RPL_STATSCOMMANDS         RFC1459 
213  RPL_STATSCLINE            RFC1459 
214  RPL_STATSNLINE            RFC1459 
215  RPL_STATSILINE            RFC1459 
216  RPL_STATSKLINE            RFC1459 
217  RPL_STATSQLINE            RFC1459 
217  RPL_STATSPLINE            ircu 
218  RPL_STATSYLINE            RFC1459 
219  RPL_ENDOFSTATS            RFC1459 
220  RPL_STATSPLINE            Hybrid 
220  RPL_STATSBLINE            Bahamut, Unreal 
220  RPL_STATSWLINE            Nefarious 
221  RPL_UMODEIS               RFC1459 
222  RPL_MODLIST               
222  RPL_SQLINE_NICK           Unreal 
222  RPL_STATSBLINE            Bahamut 
222  RPL_STATSJLINE            ircu 
222  RPL_CODEPAGE              rusnet-ircd 
223  RPL_STATSELINE            Bahamut 
223  RPL_STATSGLINE            Unreal 
223  RPL_CHARSET               rusnet-ircd 
224  RPL_STATSFLINE            Hybrid, Bahamut 
224  RPL_STATSTLINE            Unreal 
225  RPL_STATSDLINE            Hybrid 
225  RPL_STATSCLONE            Bahamut 
225  RPL_STATSZLINE            Bahamut 
225  RPL_STATSELINE            Unreal 
226  RPL_STATSCOUNT            Bahamut 
226  RPL_STATSALINE            Hybrid 
226  RPL_STATSNLINE            Unreal 
227  RPL_STATSGLINE            Bahamut 
227  RPL_STATSVLINE            Unreal 
227  RPL_STATSBLINE            Rizon 
228  RPL_STATSQLINE            ircu 
228  RPL_STATSBANVER           Unreal 
229  RPL_STATSSPAMF            Unreal 
230  RPL_STATSEXCEPTTKL        Unreal 
231  RPL_SERVICEINFO           RFC1459 
232  RPL_ENDOFSERVICES         RFC1459 
232  RPL_RULES                 Unreal 
233  RPL_SERVICE               RFC1459 
234  RPL_SERVLIST              RFC2812 
235  RPL_SERVLISTEND           RFC2812 
236  RPL_STATSVERBOSE          ircu 
237  RPL_STATSENGINE           ircu 
238  RPL_STATSFLINE            ircu 
239  RPL_STATSIAUTH            IRCnet 
240  RPL_STATSVLINE            RFC2812 
240  RPL_STATSXLINE            AustHex 
241  RPL_STATSLLINE            RFC1459 
242  RPL_STATSUPTIME           RFC1459 
243  RPL_STATSOLINE            RFC1459 
244  RPL_STATSHLINE            RFC1459 
245  RPL_STATSSLINE            Bahamut, IRCnet, Hybrid 
245  RPL_STATSTLINE            Hybrid? 
246  RPL_STATSPING             RFC2812 
246  RPL_STATSSERVICE          Hybrid 
246  RPL_STATSTLINE            ircu 
246  RPL_STATSULINE            Hybrid 
247  RPL_STATSBLINE            RFC2812 
247  RPL_STATSXLINE            Hybrid, PTlink, Unreal 
247  RPL_STATSGLINE            ircu 
248  RPL_STATSULINE            ircu 
248  RPL_STATSDEFINE           IRCnet 
249  RPL_STATSULINE            
249  RPL_STATSDEBUG            Hybrid 
250  RPL_STATSDLINE            RFC2812 
250  RPL_STATSCONN             ircu, Unreal 
251  RPL_LUSERCLIENT           RFC1459 
252  RPL_LUSEROP               RFC1459 
253  RPL_LUSERUNKNOWN          RFC1459 
254  RPL_LUSERCHANNELS         RFC1459 
255  RPL_LUSERME               RFC1459 
256  RPL_ADMINME               RFC1459 
257  RPL_ADMINLOC1             RFC1459 
258  RPL_ADMINLOC2             RFC1459 
259  RPL_ADMINEMAIL            RFC1459 
261  RPL_TRACELOG              RFC1459 
262  RPL_TRACEPING             
262  RPL_TRACEEND              RFC2812 
263  RPL_TRYAGAIN              RFC2812 
264  RPL_USINGSSL              rusnet-ircd 
265  RPL_LOCALUSERS            aircd, Hybrid, Bahamut 
266  RPL_GLOBALUSERS           aircd, Hybrid, Bahamut 
267  RPL_START_NETSTAT         aircd 
268  RPL_NETSTAT               aircd 
269  RPL_END_NETSTAT           aircd 
270  RPL_PRIVS                 ircu 
270  RPL_MAPUSERS              InspIRCd 2.0 
271  RPL_SILELIST              ircu 
272  RPL_ENDOFSILELIST         ircu 
273  RPL_NOTIFY                aircd 
274  RPL_ENDNOTIFY             aircd 
274  RPL_STATSDELTA            IRCnet 
275  RPL_STATSDLINE            ircu, Ultimate 
275  RPL_USINGSSL              Bahamut 
276  RPL_WHOISCERTFP           oftc-hybrid 
276  RPL_STATSRLINE            ircu 
276  RPL_VCHANEXIST            Hybrid 
277  RPL_VCHANLIST             Hybrid 
278  RPL_VCHANHELP             Hybrid 7.0? 
280  RPL_GLIST                 ircu 
281  RPL_ENDOFGLIST            ircu 
281  RPL_ACCEPTLIST            
282  RPL_ENDOFACCEPT           
282  RPL_JUPELIST              ircu 
283  RPL_ALIST                 
283  RPL_ENDOFJUPELIST         ircu 
284  RPL_ENDOFALIST            
284  RPL_FEATURE               ircu 
285  RPL_GLIST_HASH            
285  RPL_CHANINFO_HANDLE       aircd 
285  RPL_NEWHOSTIS             QuakeNet 
286  RPL_CHANINFO_USERS        aircd 
286  RPL_CHKHEAD               QuakeNet 
287  RPL_CHANINFO_CHOPS        aircd 
287  RPL_CHANUSER              QuakeNet 
288  RPL_CHANINFO_VOICES       aircd 
288  RPL_PATCHHEAD             QuakeNet 
289  RPL_CHANINFO_AWAY         aircd 
289  RPL_PATCHCON              QuakeNet 
290  RPL_CHANINFO_OPERS        aircd 
290  RPL_HELPHDR               Unreal 
290  RPL_DATASTR               QuakeNet 
291  RPL_CHANINFO_BANNED       aircd 
291  RPL_HELPOP                Unreal 
291  RPL_ENDOFCHECK            QuakeNet 
292  RPL_CHANINFO_BANS         aircd 
292  RPL_HELPTLR               Unreal 
292  ERR_SEARCHNOMATCH         Nefarious 
293  RPL_CHANINFO_INVITE       aircd 
293  RPL_HELPHLP               Unreal 
294  RPL_CHANINFO_INVITES      aircd 
294  RPL_HELPFWD               Unreal 
295  RPL_CHANINFO_KICK         aircd 
295  RPL_HELPIGN               Unreal 
296  RPL_CHANINFO_KICKS        aircd 
299  RPL_END_CHANINFO          aircd 
300  RPL_NONE                  RFC1459 
301  RPL_AWAY                  RFC1459 
302  RPL_USERHOST              RFC1459 
303  RPL_ISON                  RFC1459 
304  RPL_TEXT                  irc2? 
305  RPL_UNAWAY                RFC1459 
306  RPL_NOWAWAY               RFC1459 
307  RPL_USERIP                
307  RPL_WHOISREGNICK          Bahamut, Unreal 
307  RPL_SUSERHOST             AustHex 
308  RPL_NOTIFYACTION          aircd 
308  RPL_WHOISADMIN            Bahamut 
308  RPL_RULESSTART            Unreal 
309  RPL_NICKTRACE             aircd 
309  RPL_WHOISSADMIN           Bahamut 
309  RPL_ENDOFRULES            Unreal 
309  RPL_WHOISHELPER           AustHex 
309  RPL_WHOISSERVICE          oftc-hybrid 
310  RPL_WHOISSVCMSG           Bahamut 
310  RPL_WHOISHELPOP           Unreal 
310  RPL_WHOISSERVICE          AustHex 
311  RPL_WHOISUSER             RFC1459 
312  RPL_WHOISSERVER           RFC1459 
313  RPL_WHOISOPERATOR         RFC1459 
314  RPL_WHOWASUSER            RFC1459 
315  RPL_ENDOFWHO              RFC1459 
316  RPL_WHOISPRIVDEAF         Nefarious 
316  RPL_WHOISCHANOP           RFC1459 
317  RPL_WHOISIDLE             RFC1459 
318  RPL_ENDOFWHOIS            RFC1459 
319  RPL_WHOISCHANNELS         RFC1459 
320  RPL_WHOISVIRT             AustHex 
